46 :: 3, -3, 30, -30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
42 :: 1, 6, 6, 25, -4, 12, 42, -21, 4, -40, -27, 5, 33, 32, -35, 3, -21, -12, -44, -2, 37, 9, -20, -23, -19, 37, 14, 7, 5, -3, 
38 :: 30, -7, 0, -17, 24, 6, 17, -9, -2, -22, -10, 2, 18, 11, -11, 1, 2, -17, -7, 0, 20, 2, -4, -30, -11, 11, 6, -6, -1, 17, 
28 :: 3, -2, 27, -24, -2, 4, 21, -8, 1, -13, -9, 0, 8, 8, -17, 2, -1, -5, -14, -1, 17, 4, -6, -8, -5, 21, 6, 3, 3, -1, 
28 :: 8, -5, 17, -23, 4, 4, 11, -4, -1, -15, -2, 1, 12, 7, -3, 0, 0, -5, -3, 0, 11, 1, -2, -8, -6, 2, 1, -3, 0, 5, 
28 :: 12, -1, 4, 16, 13, 8, 33, -20, 2, -32, -24, 4, 30, 22, -26, 2, -7, -13, -28, -2, 26, 7, -15, -28, -18, 32, 11, 0, 4, 8, 
28 :: 27, -3, 3, 29, 28, 17, 42, -28, 2, -40, -35, 13, 30, 33, -35, 3, 7, -14, -45, -2, 38, 8, -14, -30, -38, 38, 15, -10, 3, 8, 
24 :: 47, -16, -15, 41, 48, 23, 43, -40, -3, -40, -46, 18, 28, 33, -37, 2, 24, -32, -47, 0, 41, 8, -9, -48, -48, 38, 19, -24, -2, 28, 
23 :: 28, -6, 12, 17, 23, 12, 8, -21, 0, -4, -22, 9, 14, 13, -10, 1, 3, -8, -8, 0, 17, 3, -5, -29, -12, 16, 2, -2, 0, 11, 
15 :: 31, -12, -7, -11, 35, 9, 20, -19, -2, -32, -28, 5, 19, 24, -17, 1, 9, -22, -31, 0, 31, 3, -7, -39, -22, 19, 14, -15, -2, 19, 
6 :: 33, -21, 47, 4, 43, -14, -14, 22, 48, 32, -14, 26, 29, 47, 28, 30, 15, 10, -31, -40, 16, -27, -4, 17, -13, 19, -3, -11, 34, 23, 
4 :: 34, 3, -25, 43, -42, 47, 1, 25, 4, -40, -40, 26, -2, 27, -34, 29, 31, 37, 6, 24, -35, 33, 32, 16, 24, -42, 22, 49, -33, -8, 
2 :: 37, 7, 2, -39, -21, -11, -24, 49, -11, 9, -32, 31, -23, -27, 35, 29, -36, 23, 32, 30, -1, 10, 9, 28, 29, 45, 35, -33, 24, -47, 
